Frequency (GHz),Phase (deg)
9.95,-161.929319838468
9.951,-162.349879391873
9.952,-162.771171231498
9.953,-163.193185778724
9.954,-163.61591324886
9.955,-164.039343651588
9.956,-164.463466791519
9.957,-164.888272268869
9.958,-165.313749480248
9.959,-165.739887619566
9.96,-166.166675679065
9.961,-166.594102450461
9.962,-167.022156526218
9.963,-167.45082630094
9.964,-167.880099972883
9.965,-168.309965545597
9.966,-168.740410829687
9.967,-169.171423444704
9.968,-169.602990821162
9.969,-170.03510020267
9.97,-170.467738648204
9.971,-170.900893034495
9.972,-171.334550058543
9.973,-171.768696240261
9.974,-172.203317925236
9.975,-172.638401287623
9.976,-173.073932333146
9.977,-173.509896902243
9.978,-173.946280673307
9.979,-174.383069166069
9.98,-174.820247745081
9.981,-175.257801623325
9.982,-175.695715865935
9.983,-176.133975394028
9.984,-176.57256498865
9.985,-177.011469294826
9.986,-177.450672825719
9.987,-177.890159966894
9.988,-178.329914980675
9.989,-178.769922010608
9.99,-179.210165086017
9.991,-179.650628126649
9.992,-180.091294947409
9.993,-180.532149263184
9.994,-180.973174693744
9.995,-181.414354768724
9.996,-181.855672932677
9.997,-182.297112550206
9.998,-182.738656911153
9.999,-183.18028923586
10.0,-183.62199268048
10.001,-184.06375034235
10.002,-184.505545265409
10.003,-184.947360445665
10.004,-185.389178836705
10.005,-185.830983355237
10.006,-186.272756886667
10.007,-186.714482290704
10.008,-187.156142406991
10.009,-187.597720060749
10.01,-188.039198068438
10.011,-188.480559243427
10.012,-188.921786401664
10.013,-189.362862367359
10.014,-189.80376997864
10.015,-190.244492093221
10.016,-190.685011594038
10.017,-191.125311394881
10.018,-191.565374445986
10.019,-192.005183739612
10.02,-192.444722315575
10.021,-192.883973266751
10.022,-193.322919744533
10.023,-193.76154496424
10.024,-194.199832210478
10.025,-194.637764842447
10.026,-195.075326299182
10.027,-195.512500104734
10.028,-195.949269873286
10.029,-196.385619314193
10.03,-196.82153223695
10.031,-197.256992556078
10.032,-197.691984295925
10.033,-198.126491595395
10.034,-198.560498712564
10.035,-198.993990029229
10.036,-199.426950055341
10.037,-199.859363433347
10.038,-200.291214942438
10.039,-200.722489502681
10.04,-201.15317217905
10.041,-201.583248185351
10.042,-202.01270288803
10.043,-202.441521809873
10.044,-202.869690633587
10.045,-203.297195205271
10.046,-203.724021537759
10.047,-204.150155813854
10.048,-204.575584389432
10.049,-205.000293796429
10.05,-205.424270745706
