Frequency (GHz),Phase (deg)
9.95,-138.390378923985
9.951,-138.967210002788
9.952,-139.544545759691
9.953,-140.122373475175
9.954,-140.700680361254
9.955,-141.279453562462
9.956,-141.858680156842
9.957,-142.438347156943
9.958,-143.018441510803
9.959,-143.598950102948
9.96,-144.17985975538
9.961,-144.761157228577
9.962,-145.342829222488
9.963,-145.924862377532
9.964,-146.507243275605
9.965,-147.089958441081
9.966,-147.672994341822
9.967,-148.256337390195
9.968,-148.83997394409
9.969,-149.423890307941
9.97,-150.00807273376
9.971,-150.592507422169
9.972,-151.177180523448
9.973,-151.762078138583
9.974,-152.347186320326
9.975,-152.932491074265
9.976,-153.517978359899
9.977,-154.103634091732
9.978,-154.689444140369
9.979,-155.275394333628
9.98,-155.861470457665
9.981,-156.447658258114
9.982,-157.033943441231
9.983,-157.620311675069
9.984,-158.206748590656
9.985,-158.793239783191
9.986,-159.37977081326
9.987,-159.966327208071
9.988,-160.552894462702
9.989,-161.13945804137
9.99,-161.726003378722
9.991,-162.312515881144
9.992,-162.898980928093
9.993,-163.485383873446
9.994,-164.071710046876
9.995,-164.657944755251
9.996,-165.244073284049
9.997,-165.830080898807
9.998,-166.415952846589
9.999,-167.001674357478
10.0,-167.587230646091
10.001,-168.172606913128
10.002,-168.757788346941
10.003,-169.342760125127
10.004,-169.927507416151
10.005,-170.512015380997
10.006,-171.096269174843
10.007,-171.680253948762
10.008,-172.263954851457
10.009,-172.847357031009
10.01,-173.430445636672
10.011,-174.013205820679
10.012,-174.595622740074
10.013,-175.17768155859
10.014,-175.759367448531
10.015,-176.340665592693
10.016,-176.921561186307
10.017,-177.502039439012
10.018,-178.082085576843
10.019,-178.661684844257
10.02,-179.240822506172
10.021,-179.819483850042
10.022,-180.397654187933
10.023,-180.975318858654
10.024,-181.552463229874
10.025,-182.12907270029
10.026,-182.705132701795
10.027,-183.280628701675
10.028,-183.855546204817
10.029,-184.429870755944
10.03,-185.003587941859
10.031,-185.576683393704
10.032,-186.149142789228
10.033,-186.72095185509
10.034,-187.292096369141
10.035,-187.862562162746
10.036,-188.432335123092
10.037,-189.001401195516
10.038,-189.569746385843
10.039,-190.137356762716
10.04,-190.704218459938
10.041,-191.270317678815
10.042,-191.835640690499
10.043,-192.400173838332
10.044,-192.963903540183
10.045,-193.526816290783
10.046,-194.088898664062
10.047,-194.650137315465
10.048,-195.21051898427
10.049,-195.770030495894
10.05,-196.328658764184
