Frequency (GHz),Phase (deg)
9.95,-22.5065804389687
9.951,-23.0609947276687
9.952,-23.6162150904554
9.953,-24.1722310586689
9.954,-24.7290319983797
9.955,-25.2866071101489
9.956,-25.8449454288475
9.957,-26.4040358235516
9.958,-26.9638669974952
9.959,-27.5244274880955
9.96,-28.0857056670514
9.961,-28.6476897405093
9.962,-29.2103677493061
9.963,-29.7737275692871
9.964,-30.3377569116983
9.965,-30.90244332366
9.966,-31.4677741887142
9.967,-32.0337367274618
9.968,-32.6003179982738
9.969,-33.1675048980876
9.97,-33.7352841632907
9.971,-34.3036423706857
9.972,-34.8725659385455
9.973,-35.4420411277527
9.974,-36.0120540430295
9.975,-36.5825906342566
9.976,-37.153636697879
9.977,-37.7251778784085
9.978,-38.29719967001
9.979,-38.8696874181855
9.98,-39.4426263215465
9.981,-40.0160014336792
9.982,-40.5897976651038
9.983,-41.1639997853258
9.984,-41.7385924249786
9.985,-42.3135600780617
9.986,-42.8888871042663
9.987,-43.4645577314017
9.988,-44.0405560579036
9.989,-44.6168660554418
9.99,-45.1934715716146
9.991,-45.7703563327333
9.992,-46.3475039466998
9.993,-46.9248979059676
9.994,-47.5025215905941
9.995,-48.0803582713789
9.996,-48.6583911130832
9.997,-49.2366031777409
9.998,-49.8149774280445
9.999,-50.3934967308164
10.0,-50.9721438605564
10.001,-51.5509015030707
10.002,-52.129752259173
10.003,-52.7086786484599
10.004,-53.2876631131606
10.005,-53.8666880220524
10.006,-54.4457356744449
10.007,-55.0247883042309
10.008,-55.6038280839987
10.009,-56.1828371291993
10.01,-56.7617975023818
10.011,-57.3406912174736
10.012,-57.9195002441116
10.013,-58.4982065120358
10.014,-59.0767919155122
10.015,-59.6552383178082
10.016,-60.2335275557059
10.017,-60.8116414440527
10.018,-61.3895617803431
10.019,-61.9672703493323
10.02,-62.5447489276783
10.021,-63.1219792886066
10.022,-63.6989432065904
10.023,-64.2756224620589
10.024,-64.8519988461048
10.025,-65.4280541652132
10.026,-66.0037702459922
10.027,-66.5791289399046
10.028,-67.1541121280015
10.029,-67.7287017256516
10.03,-68.3028796872626
10.031,-68.8766280109904
10.032,-69.4499287434285
10.033,-70.022763984294
10.034,-70.595115891074
10.035,-71.1669666836588
10.036,-71.7382986489393
10.037,-72.3090941453756
10.038,-72.8793356075303
10.039,-73.4490055505615
10.04,-74.0180865746732
10.041,-74.5865613695204
10.042,-75.1544127185684
10.043,-75.7216235033956
10.044,-76.2881767079465
10.045,-76.8540554227221
10.046,-77.4192428489143
10.047,-77.9837223024735
10.048,-78.5474772181105
10.049,-79.1104911532319
10.05,-79.6727477918023
