Frequency (GHz),Phase (deg)
9.95,-38.3825325686339
9.951,-38.8279351588222
9.952,-39.2741112245709
9.953,-39.7210503309569
9.954,-40.168741824861
9.955,-40.6171748355293
9.956,-41.0663382752568
9.957,-41.5162208402043
9.958,-41.9668110113373
9.959,-42.4180970554959
9.96,-42.8700670265987
9.961,-43.3227087669745
9.962,-43.7760099088307
9.963,-44.229957875855
9.964,-44.6845398849507
9.965,-45.13974294811
9.966,-45.5955538744199
9.967,-46.0519592722109
9.968,-46.5089455513364
9.969,-46.9664989255911
9.97,-47.4246054152681
9.971,-47.8832508498493
9.972,-48.3424208708356
9.973,-48.8021009347085
9.974,-49.2622763160308
9.975,-49.7229321106787
9.976,-50.1840532392058
9.977,-50.6456244503436
9.978,-51.1076303246257
9.979,-51.570055278146
9.98,-52.0328835664408
9.981,-52.4960992884963
9.982,-52.9596863908793
9.983,-53.4236286719898
9.984,-53.8879097864279
9.985,-54.3525132494808
9.986,-54.8174224417173
9.987,-55.2826206136988
9.988,-55.7480908907896
9.989,-56.2138162780763
9.99,-56.6797796653842
9.991,-57.14596383239
9.992,-57.61235145383
9.993,-58.078925104793
9.994,-58.5456672661019
9.995,-59.0125603297743
9.996,-59.4795866045577
9.997,-59.9467283215424
9.998,-60.4139676398361
9.999,-60.881286652305
10.0,-61.3486673913718
10.001,-61.8160918348694
10.002,-62.2835419119413
10.003,-62.7509995089861
10.004,-63.2184464756434
10.005,-63.6858646308096
10.006,-64.1532357686854
10.007,-64.6205416648461
10.008,-65.0877640823312
10.009,-65.5548847777424
10.01,-66.0218855073582
10.011,-66.4887480332434
10.012,-66.9554541293552
10.013,-67.4219855876524
10.014,-67.8883242241785
10.015,-68.3544518851322
10.016,-68.8203504529154
10.017,-69.2860018521506
10.018,-69.7513880556638
10.019,-70.2164910904291
10.02,-70.681293043471
10.021,-71.1457760677166
10.022,-71.6099223877906
10.023,-72.0737143057602
10.024,-72.5371342068066
10.025,-73.000164564837
10.026,-73.4627879480207
10.027,-73.9249870242482
10.028,-74.3867445665101
10.029,-74.8480434581924
10.03,-75.3088666982814
10.031,-75.7691974064763
10.032,-76.229018828201
10.033,-76.6883143395271
10.034,-77.1470674519804
10.035,-77.6052618172489
10.036,-78.0628812317775
10.037,-78.5199096412497
10.038,-78.9763311449564
10.039,-79.4321300000444
10.04,-79.8872906256434
10.041,-80.341797606871
10.042,-80.795635698714
10.043,-81.2487898297795
10.044,-81.7012451059208
10.045,-82.1529868137285
10.046,-82.6040004238948
10.047,-83.05427159444
10.048,-83.503786173807
10.049,-83.9525302038214
10.05,-84.4004899225149
