Frequency (GHz),Phase (deg)
9.95,-37.2641004676127
9.951,-37.7445744201015
9.952,-38.2257849666002
9.953,-38.707720601824
9.954,-39.1903696205446
9.955,-39.6737201186705
9.956,-40.1577599944423
9.957,-40.6424769497541
9.958,-41.1278584915877
9.959,-41.6138919335696
9.96,-42.1005643976524
9.961,-42.5878628159132
9.962,-43.0757739324778
9.963,-43.5642843055668
9.964,-44.0533803096627
9.965,-44.5430481378028
9.966,-45.0332738039891
9.967,-45.5240431457292
9.968,-46.0153418266916
9.969,-46.5071553394841
9.97,-46.9994690085564
9.971,-47.492267993217
9.972,-47.9855372907746
9.973,-48.4792617397923
9.974,-48.9734260234619
9.975,-49.4680146730914
9.976,-49.9630120717046
9.977,-50.4584024577574
9.978,-50.9541699289576
9.979,-51.450298446197
9.98,-51.9467718375876
9.981,-52.4435738025997
9.982,-52.9406879163035
9.983,-53.4380976337079
9.984,-53.9357862941933
9.985,-54.4337371260399
9.986,-54.9319332510411
9.987,-55.4303576892105
9.988,-55.9289933635641
9.989,-56.4278231049885
9.99,-56.9268296571823
9.991,-57.4259956816702
9.992,-57.9253037628886
9.993,-58.4247364133327
9.994,-58.9242760787685
9.995,-59.4239051434998
9.996,-59.9236059356872
9.997,-60.4233607327207
9.998,-60.923151766632
9.999,-61.4229612295497
10.0,-61.9227712791891
10.001,-62.4225640443756
10.002,-62.9223216305931
10.003,-63.422026125555
10.004,-63.9216596047949
10.005,-64.4212041372685
10.006,-64.9206417909646
10.007,-65.4199546385217
10.008,-65.9191247628434
10.009,-66.4181342627039
10.01,-66.9169652583539
10.011,-67.4155998971019
10.012,-67.9140203588775
10.013,-68.4122088617812
10.014,-68.9101476675927
10.015,-69.4078190872534
10.016,-69.9052054863118
10.017,-70.402289290326
10.018,-70.8990529902195
10.019,-71.3954791475877
10.02,-71.8915503999515
10.021,-72.3872494659516
10.022,-72.8825591504765
10.023,-73.3774623497333
10.024,-73.8719420562371
10.025,-74.3659813637357
10.026,-74.8595634720529
10.027,-75.3526716918504
10.028,-75.8452894493057
10.029,-76.3374002907046
10.03,-76.8289878869411
10.031,-77.3200360379239
10.032,-77.810528676882
10.033,-78.3004498745834
10.034,-78.7897838434373
10.035,-79.2785149415023
10.036,-79.7666276763818
10.037,-80.2541067090137
10.038,-80.7409368573497
10.039,-81.2271030999206
10.04,-81.7125905792867
10.041,-82.1973846053731
10.042,-82.6814706586896
10.043,-83.1648343934274
10.044,-83.6474616404412
10.045,-84.1293384101058
10.046,-84.6104508950562
10.047,-85.0907854728003
10.048,-85.5703287082122
10.049,-86.0490673559021
10.05,-86.5269883624623
