Frequency (GHz),Phase (deg)
9.95,-31.4722554961019
9.951,-32.2313802419276
9.952,-32.9920688011641
9.953,-33.7542925142367
9.954,-34.5180224839579
9.955,-35.2832295824516
9.956,-36.0498844579965
9.957,-36.8179575417973
9.958,-37.5874190546488
9.959,-38.3582390135007
9.96,-39.1303872379133
9.961,-39.9038333563878
9.962,-40.6785468125711
9.963,-41.4544968713276
9.964,-42.2316526246645
9.965,-43.0099829975161
9.966,-43.7894567533671
9.967,-44.5700424997326
9.968,-45.3517086934653
9.969,-46.1344236459034
9.97,-46.9181555278555
9.971,-47.7028723744124
9.972,-48.4885420895968
9.973,-49.2751324508381
9.974,-50.0626111132834
9.975,-50.8509456139417
9.976,-51.6401033756578
9.977,-52.4300517109355
9.978,-53.2207578255893
9.979,-54.0121888222528
9.98,-54.8043117037316
9.981,-55.5970933762137
9.982,-56.3905006523447
9.983,-57.1845002541721
9.984,-57.9790588159636
9.985,-58.7741428869161
9.986,-59.5697189337519
9.987,-60.3657533432274
9.988,-61.1622124245454
9.989,-61.9590624116977
9.99,-62.7562694657385
9.991,-63.5537996770012
9.992,-64.3516190672779
9.993,-65.1496935919589
9.994,-65.9479891421589
9.995,-66.7464715468333
9.996,-67.5451065748953
9.997,-68.3438599373592
9.998,-69.1426972895046
9.999,-69.941584233088
10.0,-70.740486318606
10.001,-71.5393690476309
10.002,-72.3381978752217
10.003,-73.1369382124279
10.004,-73.9355554289017
10.005,-74.7340148556204
10.006,-75.5322817877392
10.007,-76.3303214875844
10.008,-77.1280991877948
10.009,-77.9255800946165
10.01,-78.7227293913812
10.011,-79.519512242151
10.012,-80.3158937955482
10.013,-81.1118391888008
10.014,-81.9073135519676
10.015,-82.7022820123855
10.016,-83.4967096993318
10.017,-84.2905617489076
10.018,-85.0838033091443
10.019,-85.8763995453427
10.02,-86.6683156456468
10.021,-87.459516826852
10.022,-88.2499683404426
10.023,-89.039635478884
10.024,-89.8284835821309
10.025,-90.616478044389
10.026,-91.4035843211028
10.027,-92.1897679361745
10.028,-92.974994489412
10.029,-93.7592296642026
10.03,-94.5424392354021
10.031,-95.3245890774363
10.032,-96.1056451726004
10.033,-96.8855736195757
10.034,-97.6643406421119
10.035,-98.4419125979039
10.036,-99.218255987632
10.037,-99.9933374641624
10.038,-100.767123841899
10.039,-101.539582106268
10.04,-102.310679423328
10.041,-103.080383149486
10.042,-103.848660841324
10.043,-104.615480265495
10.044,-105.380809408696
10.045,-106.144616487695
10.046,-106.9068699594
10.047,-107.667538530949
10.048,-108.426591169809
10.049,-109.183997113878
10.05,-109.939725881553
