Frequency (GHz),Phase (deg)
9.95,-161.895127182171
9.951,-162.507132776971
9.952,-163.120523831404
9.953,-163.735277903503
9.954,-164.351372180326
9.955,-164.968783481482
9.956,-165.587488262897
9.957,-166.207462620815
9.958,-166.828682296035
9.959,-167.45112267838
9.96,-168.074758811408
9.961,-168.699565397349
9.962,-169.32551680228
9.963,-169.952587061539
9.964,-170.580749885355
9.965,-171.209978664721
9.966,-171.840246477482
9.967,-172.471526094665
9.968,-173.103789987011
9.969,-173.737010331741
9.97,-174.37115901953
9.971,-175.0062076617
9.972,-175.642127597615
9.973,-176.278889902286
9.974,-176.916465394178
9.975,-177.554824643204
9.976,-178.19393797892
9.977,-178.8337754989
9.978,-179.474307077295
9.979,-180.115502373566
9.98,-180.757330841381
9.981,-181.399761737685
9.982,-182.042764131914
9.983,-182.686306915373
9.984,-183.330358810742
9.985,-183.974888381729
9.986,-184.619864042846
9.987,-185.265254069312
9.988,-185.911026607059
9.989,-186.557149682856
9.99,-187.20359121452
9.991,-187.850319021226
9.992,-188.497300833892
9.993,-189.144504305636
9.994,-189.791897022305
9.995,-190.439446513053
9.996,-191.087120260965
9.997,-191.73488571373
9.998,-192.382710294328
9.999,-193.030561411753
10.0,-193.678406471733
10.001,-194.326212887468
10.002,-194.973948090351
10.003,-195.621579540674
10.004,-196.269074738321
10.005,-196.916401233415
10.006,-197.563526636927
10.007,-198.210418631246
10.008,-198.857044980674
10.009,-199.503373541857
10.01,-200.149372274155
10.011,-200.795009249905
10.012,-201.440252664602
10.013,-202.085070846992
10.014,-202.72943226903
10.015,-203.373305555742
10.016,-204.016659494957
10.017,-204.659463046905
10.018,-205.301685353681
10.019,-205.943295748558
10.02,-206.584263765153
10.021,-207.224559146435
10.022,-207.864151853555
10.023,-208.503012074527
10.024,-209.141110232709
10.025,-209.778416995116
10.026,-210.414903280542
10.027,-211.050540267483
10.028,-211.68529940187
10.029,-212.319152404595
10.03,-212.952071278834
10.031,-213.584028317155
10.032,-214.214996108408
10.033,-214.844947544418
10.034,-215.47385582643
10.035,-216.101694471348
10.036,-216.728437317742
10.037,-217.354058531631
10.038,-217.978532612028
10.039,-218.601834396263
10.04,-219.223939065065
10.041,-219.844822147414
10.042,-220.464459525154
10.043,-221.082827437377
10.044,-221.699902484564
10.045,-222.315661632492
10.046,-222.930082215911
10.047,-223.543141941976
10.048,-224.154818893453
10.049,-224.765091531684
10.05,-225.373938699332
