Frequency (GHz),Phase (deg)
9.95,-69.0224502539796
9.951,-69.6697197999871
9.952,-70.3184579161104
9.953,-70.9686361873592
9.954,-71.6202258016396
9.955,-72.2731975556367
9.956,-72.9275218609081
9.957,-73.5831687502008
9.958,-74.2401078839668
9.959,-74.8983085570893
9.96,-75.5577397058156
9.961,-76.2183699148844
9.962,-76.8801674248536
9.963,-77.5431001396211
9.964,-78.2071356341321
9.965,-78.8722411622756
9.966,-79.5383836649561
9.967,-80.205529778354
9.968,-80.8736458423476
9.969,-81.5426979091094
9.97,-82.2126517518687
9.971,-82.8834728738297
9.972,-83.5551265172507
9.973,-84.2275776726695
9.974,-84.9007910882781
9.975,-85.5747312794394
9.976,-86.249362538336
9.977,-86.9246489437597
9.978,-87.6005543710178
9.979,-88.2770425019694
9.98,-88.9540768351737
9.981,-89.6316206961507
9.982,-90.3096372477496
9.983,-90.9880895006185
9.984,-91.666940323767
9.985,-92.3461524552225
9.986,-93.0256885127671
9.987,-93.705511004761
9.988,-94.3855823410307
9.989,-95.0658648438332
9.99,-95.7463207588774
9.991,-96.4269122664037
9.992,-97.1076014923171
9.993,-97.7883505193601
9.994,-98.4691213983298
9.995,-99.1498761593262
9.996,-99.8305768230243
9.997,-100.511185411975
9.998,-101.191663961913
9.999,-101.871974533078
10.0,-102.552079221535
10.001,-103.231940170498
10.002,-103.911519581632
10.003,-104.590779726347
10.004,-105.269682957068
10.005,-105.948191718472
10.006,-106.626268558691
10.007,-107.303876140473
10.008,-107.980977252295
10.009,-108.657534819408
10.01,-109.333511914846
10.011,-110.008871770333
10.012,-110.683577787134
10.013,-111.357593546826
10.014,-112.030882821965
10.015,-112.703409586665
10.016,-113.375138027075
10.017,-114.046032551744
10.018,-114.716057801869
10.019,-115.38517866142
10.02,-116.053360267138
10.021,-116.720568018398
10.022,-117.386767586915
10.023,-118.051924926326
10.024,-118.716006281592
10.025,-119.378978198252
10.026,-120.040807531507
10.027,-120.701461455127
10.028,-121.360907470178
10.029,-122.019113413564
10.03,-122.676047466384
10.031,-123.331678162079
10.032,-123.98597439438
10.033,-124.638905425063
10.034,-125.290440891472
10.035,-125.940550813831
10.036,-126.589205602341
10.037,-127.236376064037
10.038,-127.882033409426
10.039,-128.526149258885
10.04,-129.168695648817
10.041,-129.809645037573
10.042,-130.448970311122
10.043,-131.086644788473
10.044,-131.722642226849
10.045,-132.356936826603
10.046,-132.989503235883
10.047,-133.620316555035
10.048,-134.249352340744
10.049,-134.876586609922
10.05,-135.501995843328
