Frequency (GHz),Phase (deg)
9.95,-158.175346917161
9.951,-158.838184048113
9.952,-159.502547957116
9.953,-160.168414847604
9.954,-160.835760555564
9.955,-161.504560553128
9.956,-162.174789952325
9.957,-162.846423509019
9.958,-163.519435627008
9.959,-164.193800362295
9.96,-164.869491427526
9.961,-165.546482196601
9.962,-166.224745709442
9.963,-166.904254676931
9.964,-167.584981486014
9.965,-168.266898204958
9.966,-168.949976588771
9.967,-169.634188084786
9.968,-170.319503838396
9.969,-171.005894698941
9.97,-171.693331225752
9.971,-172.381783694347
9.972,-173.071222102768
9.973,-173.761616178076
9.974,-174.452935382974
9.975,-175.145148922592
9.976,-175.838225751394
9.977,-176.532134580231
9.978,-177.226843883531
9.979,-177.922321906611
9.98,-178.618536673134
9.981,-179.315455992676
9.982,-180.013047468432
9.983,-180.711278505038
9.984,-181.410116316506
9.985,-182.109527934288
9.986,-182.809480215436
9.987,-183.509939850893
9.988,-184.210873373869
9.989,-184.912247168335
9.99,-185.614027477612
9.991,-186.316180413058
9.992,-187.018671962843
9.993,-187.721468000827
9.994,-188.424534295504
9.995,-189.12783651905
9.996,-189.831340256432
9.997,-190.5350110146
9.998,-191.238814231752
9.999,-191.942715286654
10.0,-192.646679508032
10.001,-193.35067218402
10.002,-194.054658571658
10.003,-194.758603906438
10.004,-195.462473411902
10.005,-196.166232309265
10.006,-196.869845827084
10.007,-197.573279210954
10.008,-198.276497733223
10.009,-198.979466702727
10.01,-199.682151474545
10.011,-200.384517459754
10.012,-201.086530135186
10.013,-201.788155053193
10.014,-202.48935785139
10.015,-203.190104262385
10.016,-203.890360123499
10.017,-204.590091386449
10.018,-205.289264126999
10.019,-205.987844554574
10.02,-206.685799021832
10.021,-207.383094034184
10.022,-208.079696259247
10.023,-208.775572536247
10.024,-209.470689885343
10.025,-210.165015516877
10.026,-210.858516840542
10.027,-211.551161474456
10.028,-212.242917254147
10.029,-212.933752241434
10.03,-213.623634733195
10.031,-214.312533270027
10.032,-215.000416644776
10.033,-215.687253910953
10.034,-216.373014391007
10.035,-217.057667684461
10.036,-217.741183675901
10.037,-218.423532542823
10.038,-219.104684763307
10.039,-219.784611123551
10.04,-220.463282725214
10.041,-221.1406709926
10.042,-221.816747679665
10.043,-222.491484876831
10.044,-223.164855017621
10.045,-223.836830885099
10.046,-224.507385618108
10.047,-225.176492717319
10.048,-225.844126051057
10.049,-226.510259860938
10.05,-227.174868767277
