Frequency (GHz),Phase (deg)
9.95,-106.735034649085
9.951,-107.526217118034
9.952,-108.318603882987
9.953,-109.112170076145
9.954,-109.906890768506
9.955,-110.702740978918
9.956,-111.49969568292
9.957,-112.297729821377
9.958,-113.096818308867
9.959,-113.896936041829
9.96,-114.698057906449
9.961,-115.500158786279
9.962,-116.303213569564
9.963,-117.107197156284
9.964,-117.912084464882
9.965,-118.717850438693
9.966,-119.52447005203
9.967,-120.331918315963
9.968,-121.140170283746
9.969,-121.949201055905
9.97,-122.758985784986
9.971,-123.569499679936
9.972,-124.380718010145
9.973,-125.192616109121
9.974,-126.00516937781
9.975,-126.818353287553
9.976,-127.632143382685
9.977,-128.446515282785
9.978,-129.261444684554
9.979,-130.076907363354
9.98,-130.892879174393
9.981,-131.709336053569
9.982,-132.526254017972
9.983,-133.343609166062
9.984,-134.161377677514
9.985,-134.979535812757
9.986,-135.798059912202
9.987,-136.616926395172
9.988,-137.436111758552
9.989,-138.255592575156
9.99,-139.075345491844
9.991,-139.89534722737
9.992,-140.715574570018
9.993,-141.536004374989
9.994,-142.356613561599
9.995,-143.177379110278
9.996,-143.99827805938
9.997,-144.819287501847
9.998,-145.640384581714
9.999,-146.461546490489
10.0,-147.282750463417
10.001,-148.10397377565
10.002,-148.925193738333
10.003,-149.746387694633
10.004,-150.567533015721
10.005,-151.388607096724
10.006,-152.209587352671
10.007,-153.030451214445
10.008,-153.851176124766
10.009,-154.671739534198
10.01,-155.492118897244
10.011,-156.312291668494
10.012,-157.132235298868
10.013,-157.951927231993
10.014,-158.771344900672
10.015,-159.590465723518
10.016,-160.409267101738
10.017,-161.227726416086
10.018,-162.045821024006
10.019,-162.863528256973
10.02,-163.680825418051
10.021,-164.497689779674
10.022,-165.314098581661
10.023,-166.130029029494
10.024,-166.945458292841
10.025,-167.760363504363
10.026,-168.574721758794
10.027,-169.388510112307
10.028,-170.201705582186
10.029,-171.014285146794
10.03,-171.826225745853
10.031,-172.637504281044
10.032,-173.448097616909
10.033,-174.257982582108
10.034,-175.067135970972
10.035,-175.875534545404
10.036,-176.683155037097
10.037,-177.48997415009
10.038,-178.295968563653
10.039,-179.101114935499
10.04,-179.905389905315
10.041,-180.708770098627
10.042,-181.511232130977
10.043,-182.312752612413
10.044,-183.113308152292
10.045,-183.912875364381
10.046,-184.711430872256
10.047,-185.508951314983
10.048,-186.305413353081
10.049,-187.100793674757
10.05,-187.895069002394
