Frequency (GHz),Phase (deg)
9.95,-76.0465743575825
9.951,-76.6933542591351
9.952,-77.3414893256608
9.953,-77.9909515522987
9.954,-78.6417125722962
9.955,-79.2937436626633
9.956,-79.9470157500094
9.957,-80.6014994165753
9.958,-81.2571649064385
9.959,-81.9139821319015
9.96,-82.5719206800614
9.961,-83.2309498195487
9.962,-83.8910385074427
9.963,-84.5521553963562
9.964,-85.2142688416828
9.965,-85.8773469090135
9.966,-86.5413573817051
9.967,-87.2062677686183
9.968,-87.8720453119985
9.969,-88.5386569955106
9.97,-89.2060695524246
9.971,-89.8742494739389
9.972,-90.5431630176495
9.973,-91.2127762161504
9.974,-91.8830548857708
9.975,-92.5539646354401
9.976,-93.2254708756744
9.977,-93.8975388276924
9.978,-94.5701335326393
9.979,-95.2432198609307
9.98,-95.9167625217014
9.981,-96.5907260723604
9.982,-97.2650749282462
9.983,-97.93977337238
9.984,-98.6147855653059
9.985,-99.290075555024
9.986,-99.9656072869991
9.987,-100.641344614256
9.988,-101.31725130754
9.989,-101.993291065548
9.99,-102.669427525225
9.991,-103.345624272116
9.992,-104.02184485077
9.993,-104.698052775199
9.994,-105.374211539366
9.995,-106.050284627727
9.996,-106.726235525786
9.997,-107.402027730697
9.998,-108.077624761864
9.999,-108.752990171573
10.0,-109.428087555626
10.001,-110.102880563973
10.002,-110.777332911354
10.003,-111.451408387914
10.004,-112.125070869821
10.005,-112.798284329844
10.006,-113.47101284792
10.007,-114.143220621671
10.008,-114.814871976896
10.009,-115.485931377997
10.01,-116.15636343837
10.011,-116.826132930722
10.012,-117.495204797319
10.013,-118.16354416018
10.014,-118.831116331163
10.015,-119.497886821985
10.016,-120.163821354133
10.017,-120.82888586869
10.018,-121.493046536037
10.019,-122.156269765448
10.02,-122.818522214571
10.021,-123.47977079877
10.022,-124.139982700338
10.023,-124.799125377572
10.024,-125.457166573699
10.025,-126.114074325644
10.026,-126.769816972651
10.027,-127.424363164724
10.028,-128.077681870907
10.029,-128.729742387381
10.03,-129.380514345383
10.031,-130.029967718932
10.032,-130.678072832356
10.033,-131.32480036764
10.034,-131.970121371543
10.035,-132.614007262527
10.036,-133.25642983746
10.037,-133.897361278105
10.038,-134.53677415739
10.039,-135.174641445446
10.04,-135.810936515417
10.041,-136.445633149036
10.042,-137.078705541969
10.043,-137.710128308912
10.044,-138.339876488449
10.045,-138.967925547665
10.046,-139.594251386515
10.047,-140.218830341937
10.048,-140.841639191721
10.049,-141.462655158121
10.05,-142.081855911221
