Frequency (GHz),Phase (deg)
10.0,-164.23489379882812
10.0005,-164.43467712402344
10.001,-164.68377685546875
10.0015,-165.0792999267578
10.002,-165.4536895751953
10.0025,-165.67576599121094
10.003,-165.54795837402344
10.0035,-165.79457092285156
10.004,-166.2126007080078
10.0045,-166.67259216308594
10.005,-166.63455200195312
10.0055,-166.85694885253906
10.006,-167.33702087402344
10.0065,-167.42144775390625
10.007,-167.87184143066406
10.0075,-168.04550170898438
10.008,-168.37306213378906
10.0085,-168.44956970214844
10.009,-168.4835205078125
10.0095,-169.19216918945312
10.01,-169.18609619140625
10.0105,-169.09707641601562
10.011,-170.14805603027344
10.0115,-170.30966186523438
10.012,-170.60055541992188
10.0125,-170.89027404785156
10.013,-171.17222595214844
10.0135,-171.486083984375
10.014,-171.82794189453125
10.0145,-172.45115661621094
10.015,-172.25436401367188
10.0155,-172.75108337402344
10.016,-173.02761840820312
10.0165,-173.4718475341797
10.017,-173.7840118408203
10.0175,-173.94483947753906
10.018,-174.5045166015625
10.0185,-174.44053649902344
10.019,-174.83816528320312
10.0195,-175.29879760742188
10.02,-175.64646911621094
10.0205,-175.5364532470703
10.021,-176.2714080810547
10.0215,-176.3251190185547
10.022,-176.62786865234375
10.0225,-177.2562713623047
10.023,-176.96514892578125
10.0235,-177.1499786376953
10.024,-177.56573486328125
10.0245,-177.95794677734375
10.025,-178.3512725830078
10.0255,-178.46658325195312
10.026,-179.16366577148438
10.0265,-178.78839111328125
10.027,-179.32644653320312
10.0275,-179.87904357910156
10.028,-179.85153198242188
10.0285,179.80413818359375
10.029,179.64134216308594
10.0295,178.9732208251953
10.03,178.7035675048828
10.0305,178.69752502441406
10.031,178.3563995361328
10.0315,177.8618621826172
10.032,177.49859619140625
10.0325,177.41639709472656
10.033,176.7049102783203
10.0335,176.61758422851562
10.034,176.52728271484375
10.0345,176.01815795898438
10.035,175.90658569335938
10.0355,175.4699249267578
10.036,175.27276611328125
10.0365,175.0747833251953
10.037,174.7958221435547
10.0375,174.11595153808594
10.038,173.8255157470703
10.0385,173.6232147216797
10.039,173.4287109375
10.0395,173.11900329589844
10.04,172.91783142089844
10.0405,172.3312225341797
10.041,172.18014526367188
10.0415,171.91030883789062
10.042,171.5443878173828
10.0425,171.19517517089844
10.043,171.17909240722656
10.0435,170.95741271972656
10.044,170.3199462890625
10.0445,170.07579040527344
10.045,169.97042846679688
10.0455,169.38494873046875
10.046,169.0191650390625
10.0465,168.7806396484375
10.047,168.81993103027344
10.0475,168.3441925048828
10.048,168.35806274414062
10.0485,167.72952270507812
10.049,167.44989013671875
10.0495,167.27020263671875
10.05,166.65811157226562
10.0505,166.5723419189453
10.051,166.12876892089844
10.0515,165.8057861328125
10.052,165.74270629882812
10.0525,165.32472229003906
10.053,165.26187133789062
10.0535,164.460205078125
10.054,164.53623962402344
10.0545,163.8490753173828
10.055,163.90460205078125
10.0555,163.34918212890625
10.056,163.37814331054688
10.0565,163.0330047607422
10.057,162.6812286376953
10.0575,162.16587829589844
10.058,162.0574188232422
10.0585,161.61825561523438
10.059,161.27342224121094
10.0595,161.32029724121094
10.06,160.5806427001953
10.0605,160.44273376464844
10.061,160.1875762939453
10.0615,159.71148681640625
10.062,159.5082550048828
10.0625,158.91229248046875
10.063,158.9820098876953
10.0635,158.49110412597656
10.064,158.10928344726562
10.0645,157.788330078125
10.065,157.796142578125
10.0655,157.373046875
10.066,156.70037841796875
10.0665,156.50477600097656
10.067,156.5503387451172
10.0675,155.9879150390625
10.068,156.02149963378906
10.0685,155.814208984375
10.069,155.14105224609375
10.0695,155.0272216796875
10.07,154.51736450195312
10.0705,154.4015655517578
10.071,154.18795776367188
10.0715,153.6398162841797
10.072,153.4328155517578
10.0725,153.0096435546875
10.073,152.92724609375
10.0735,152.57830810546875
10.074,152.23251342773438
10.0745,151.9567108154297
10.075,151.47531127929688
10.0755,151.27207946777344
10.076,151.06182861328125
10.0765,150.46316528320312
10.077,150.61424255371094
10.0775,149.78269958496094
10.078,149.7845458984375
10.0785,149.53024291992188
10.079,148.78895568847656
10.0795,148.6116485595703
10.08,148.6190643310547
10.0805,148.16896057128906
10.081,147.5665740966797
10.0815,147.45948791503906
10.082,146.8716583251953
10.0825,146.49044799804688
10.083,146.5037841796875
10.0835,146.04063415527344
10.084,145.87721252441406
10.0845,145.3312225341797
10.085,144.65936279296875
10.0855,144.92677307128906
10.086,144.5302734375
10.0865,144.4093017578125
10.087,144.0494384765625
10.0875,143.6440887451172
10.088,143.534912109375
10.0885,143.2072296142578
10.089,143.05667114257812
10.0895,142.79119873046875
10.09,142.44361877441406
10.0905,142.21385192871094
10.091,141.94200134277344
10.0915,141.49066162109375
10.092,141.06805419921875
10.0925,140.82691955566406
10.093,140.73452758789062
10.0935,140.21640014648438
10.094,139.905517578125
10.0945,139.8399200439453
10.095,139.5301971435547
10.0955,138.84112548828125
10.096,138.51901245117188
10.0965,138.42076110839844
10.097,137.82562255859375
10.0975,137.66339111328125
10.098,137.4274444580078
10.0985,137.20350646972656
10.099,136.5761260986328
10.0995,136.1399383544922
10.1,135.9963836669922
