Frequency (GHz),Phase (deg)
10.0,-59.07905960083008
10.0005,-59.47874069213867
10.001,-59.758697509765625
10.0015,-60.211246490478516
10.002,-60.51620101928711
10.0025,-60.93455505371094
10.003,-61.30293655395508
10.0035,-61.804866790771484
10.004,-62.18976593017578
10.0045,-62.51043701171875
10.005,-62.7940673828125
10.0055,-63.33725357055664
10.006,-63.60374450683594
10.0065,-63.988128662109375
10.007,-64.31794738769531
10.0075,-64.59822845458984
10.008,-65.06993865966797
10.0085,-65.42214965820312
10.009,-65.61652374267578
10.0095,-65.98873901367188
10.01,-66.36967468261719
10.0105,-66.64753723144531
10.011,-66.94837188720703
10.0115,-67.1066665649414
10.012,-67.39646911621094
10.0125,-67.62647247314453
10.013,-67.92268371582031
10.0135,-68.20216369628906
10.014,-68.47798156738281
10.0145,-68.655029296875
10.015,-68.88880920410156
10.0155,-69.0855712890625
10.016,-69.48509216308594
10.0165,-69.77485656738281
10.017,-69.97447204589844
10.0175,-70.15847778320312
10.018,-70.57605743408203
10.0185,-70.70894622802734
10.019,-70.92884826660156
10.0195,-71.28163146972656
10.02,-71.52913665771484
10.0205,-71.80876159667969
10.021,-72.15582275390625
10.0215,-72.42870330810547
10.022,-72.80989074707031
10.0225,-72.96803283691406
10.023,-73.47161102294922
10.0235,-73.7031021118164
10.024,-74.10431671142578
10.0245,-74.37413024902344
10.025,-74.77819061279297
10.0255,-75.16332244873047
10.026,-75.28286743164062
10.0265,-75.81195831298828
10.027,-76.0810775756836
10.0275,-76.35513305664062
10.028,-76.69404602050781
10.0285,-77.21086883544922
10.029,-77.4466552734375
10.0295,-77.85752868652344
10.03,-78.08808135986328
10.0305,-78.48233032226562
10.031,-78.78239440917969
10.0315,-79.1213607788086
10.032,-79.44318389892578
10.0325,-79.73040008544922
10.033,-80.13165283203125
10.0335,-80.29631042480469
10.034,-80.75174713134766
10.0345,-80.94799041748047
10.035,-81.26062774658203
10.0355,-81.6286849975586
10.036,-81.85508728027344
10.0365,-82.13992309570312
10.037,-82.54756927490234
10.0375,-82.82553100585938
10.038,-83.07819366455078
10.0385,-83.30662536621094
10.039,-83.60713958740234
10.0395,-83.89717102050781
10.04,-84.33841705322266
10.0405,-84.55693817138672
10.041,-84.85651397705078
10.0415,-85.10948181152344
10.042,-85.41587829589844
10.0425,-85.82262420654297
10.043,-86.10346221923828
10.0435,-86.402587890625
10.044,-86.67213439941406
10.0445,-87.0897445678711
10.045,-87.483642578125
10.0455,-87.70591735839844
10.046,-88.04500579833984
10.0465,-88.47199249267578
10.047,-88.68131256103516
10.0475,-89.12810516357422
10.048,-89.41120147705078
10.0485,-89.7980728149414
10.049,-90.17076873779297
10.0495,-90.49617767333984
10.05,-90.90919494628906
10.0505,-91.17971801757812
10.051,-91.51432037353516
10.0515,-91.95048522949219
10.052,-92.34178924560547
10.0525,-92.59686279296875
10.053,-92.9083251953125
10.0535,-93.25667572021484
10.054,-93.59520721435547
10.0545,-93.9971694946289
10.055,-94.30494689941406
10.0555,-94.58304595947266
10.056,-94.90894317626953
10.0565,-95.29691314697266
10.057,-95.57413482666016
10.0575,-95.94601440429688
10.058,-96.24913787841797
10.0585,-96.6026611328125
10.059,-96.89360046386719
10.0595,-97.20027923583984
10.06,-97.53150177001953
10.0605,-97.84164428710938
10.061,-98.21489715576172
10.0615,-98.3584976196289
10.062,-98.87550354003906
10.0625,-99.17367553710938
10.063,-99.48674011230469
10.0635,-99.72616577148438
10.064,-100.15192413330078
10.0645,-100.3487548828125
10.065,-100.75545501708984
10.0655,-101.1290512084961
10.066,-101.32117462158203
10.0665,-101.76376342773438
10.067,-102.09246826171875
10.0675,-102.4414291381836
10.068,-102.70317077636719
10.0685,-103.11732482910156
10.069,-103.4168472290039
10.0695,-103.76887512207031
10.07,-104.04789733886719
10.0705,-104.57279968261719
10.071,-104.76499938964844
10.0715,-105.14653778076172
10.072,-105.48518371582031
10.0725,-105.9350357055664
10.073,-106.17255401611328
10.0735,-106.47383880615234
10.074,-106.80952453613281
10.0745,-107.13838195800781
10.075,-107.54438781738281
10.0755,-107.89000701904297
10.076,-108.10262298583984
10.0765,-108.56202697753906
10.077,-108.78160095214844
10.0775,-109.16463470458984
10.078,-109.41895294189453
10.0785,-109.785400390625
10.079,-110.05575561523438
10.0795,-110.41320037841797
10.08,-110.67318725585938
10.0805,-111.02754974365234
10.081,-111.38143157958984
10.0815,-111.70638275146484
10.082,-112.0113525390625
10.0825,-112.39471435546875
10.083,-112.69940185546875
10.0835,-112.97897338867188
10.084,-113.34306335449219
10.0845,-113.65187072753906
10.085,-113.9023666381836
10.0855,-114.32289123535156
10.086,-114.66305541992188
10.0865,-114.89659881591797
10.087,-115.25132751464844
10.0875,-115.56578826904297
10.088,-115.98719787597656
10.0885,-116.43006896972656
10.089,-116.74727630615234
10.0895,-117.0979232788086
10.09,-117.28247833251953
10.0905,-117.66378021240234
10.091,-118.07553100585938
10.0915,-118.36286163330078
10.092,-118.75180053710938
10.0925,-119.16019439697266
10.093,-119.40058898925781
10.0935,-119.73604583740234
10.094,-120.03572845458984
10.0945,-120.52983856201172
10.095,-120.74726867675781
10.0955,-121.11203002929688
10.096,-121.5130844116211
10.0965,-121.75237274169922
10.097,-122.1506118774414
10.0975,-122.4175796508789
10.098,-122.81077575683594
10.0985,-123.14276123046875
10.099,-123.49525451660156
10.0995,-123.70454406738281
10.1,-124.04112243652344
