Frequency (GHz),Phase (deg)
10.0,-84.6793212890625
10.0005,-84.98291778564453
10.001,-85.4755859375
10.0015,-85.85030364990234
10.002,-86.24657440185547
10.0025,-86.54537963867188
10.003,-86.88758087158203
10.0035,-87.59526062011719
10.004,-87.96210479736328
10.0045,-88.29004669189453
10.005,-88.62349700927734
10.0055,-89.07242584228516
10.006,-89.40132904052734
10.0065,-90.03192901611328
10.007,-90.40148162841797
10.0075,-90.52250671386719
10.008,-91.19763946533203
10.0085,-91.52073669433594
10.009,-91.81196594238281
10.0095,-92.31986236572266
10.01,-92.57917785644531
10.0105,-93.12686920166016
10.011,-93.33390045166016
10.0115,-93.7887954711914
10.012,-94.22991943359375
10.0125,-94.73397827148438
10.013,-94.85294342041016
10.0135,-95.3224105834961
10.014,-95.52818298339844
10.0145,-95.9759750366211
10.015,-95.99385833740234
10.0155,-96.54483795166016
10.016,-96.84727478027344
10.0165,-97.26178741455078
10.017,-97.63545989990234
10.0175,-97.71426391601562
10.018,-98.16621398925781
10.0185,-98.44888305664062
10.019,-98.73329162597656
10.0195,-99.02914428710938
10.02,-99.35464477539062
10.0205,-99.7991714477539
10.021,-99.8683853149414
10.0215,-100.41129302978516
10.022,-100.90684509277344
10.0225,-100.8779067993164
10.023,-101.46862030029297
10.0235,-101.70897674560547
10.024,-102.07862091064453
10.0245,-102.49127960205078
10.025,-102.98309326171875
10.0255,-103.17285919189453
10.026,-103.39407348632812
10.0265,-104.0975570678711
10.027,-104.41588592529297
10.0275,-104.61321258544922
10.028,-105.05655670166016
10.0285,-105.64134979248047
10.029,-105.98583984375
10.0295,-106.16947937011719
10.03,-106.60256958007812
10.0305,-107.09532165527344
10.031,-107.41897583007812
10.0315,-107.78947448730469
10.032,-108.19788360595703
10.0325,-108.67655944824219
10.033,-108.99144744873047
10.0335,-109.36857604980469
10.034,-109.85302734375
10.0345,-110.0060806274414
10.035,-110.46991729736328
10.0355,-110.83635711669922
10.036,-111.10540771484375
10.0365,-111.64468383789062
10.037,-112.01544952392578
10.0375,-112.33415222167969
10.038,-112.83748626708984
10.0385,-112.96797180175781
10.039,-113.36215209960938
10.0395,-113.6933364868164
10.04,-114.16566467285156
10.0405,-114.37979888916016
10.041,-114.84651947021484
10.0415,-115.20128631591797
10.042,-115.42306518554688
10.0425,-115.83421325683594
10.043,-116.13746643066406
10.0435,-116.46260833740234
10.044,-116.84522247314453
10.0445,-117.18701934814453
10.045,-117.54362487792969
10.0455,-117.85652923583984
10.046,-118.08277130126953
10.0465,-118.45631408691406
10.047,-118.87278747558594
10.0475,-119.4650650024414
10.048,-119.69541931152344
10.0485,-120.01751708984375
10.049,-120.4800033569336
10.0495,-120.82024383544922
10.05,-121.13021850585938
10.0505,-121.45509338378906
10.051,-121.86412811279297
10.0515,-122.41986083984375
10.052,-122.84196472167969
10.0525,-123.10731506347656
10.053,-123.4209976196289
10.0535,-123.82946014404297
10.054,-124.19163513183594
10.0545,-124.6529312133789
10.055,-124.92892456054688
10.0555,-125.2036361694336
10.056,-125.62796783447266
10.0565,-126.063720703125
10.057,-126.48499298095703
10.0575,-127.02296447753906
10.058,-127.30757904052734
10.0585,-127.75715637207031
10.059,-128.0464630126953
10.0595,-128.39402770996094
10.06,-128.85113525390625
10.0605,-129.07716369628906
10.061,-129.7393341064453
10.0615,-130.04037475585938
10.062,-130.369873046875
10.0625,-130.86734008789062
10.063,-131.17156982421875
10.0635,-131.53944396972656
10.064,-131.9623260498047
10.0645,-132.0995330810547
10.065,-132.628662109375
10.0655,-133.0743865966797
10.066,-133.25169372558594
10.0665,-133.80148315429688
10.067,-134.28067016601562
10.0675,-134.49217224121094
10.068,-134.88453674316406
10.0685,-135.38047790527344
10.069,-135.54188537597656
10.0695,-136.02430725097656
10.07,-136.35743713378906
10.0705,-136.79208374023438
10.071,-137.12481689453125
10.0715,-137.4376220703125
10.072,-137.74148559570312
10.0725,-138.2553253173828
10.073,-138.56234741210938
10.0735,-138.9992218017578
10.074,-139.2019500732422
10.0745,-139.59075927734375
10.075,-140.1199493408203
10.0755,-140.30677795410156
10.076,-140.77468872070312
10.0765,-141.1194305419922
10.077,-141.39007568359375
10.0775,-141.5885772705078
10.078,-142.0995330810547
10.0785,-142.56912231445312
10.079,-142.82655334472656
10.0795,-143.1792449951172
10.08,-143.62538146972656
10.0805,-143.85903930664062
10.081,-144.3094482421875
10.0815,-144.74075317382812
10.082,-145.09234619140625
10.0825,-145.43963623046875
10.083,-145.86605834960938
10.0835,-146.2071533203125
10.084,-146.41217041015625
10.0845,-146.87591552734375
10.085,-147.15928649902344
10.0855,-147.59458923339844
10.086,-148.0443115234375
10.0865,-148.42320251464844
10.087,-148.83889770507812
10.0875,-149.19400024414062
10.088,-149.6145782470703
10.0885,-150.02493286132812
10.089,-150.3865966796875
10.0895,-151.00180053710938
10.09,-151.05227661132812
10.0905,-151.4740447998047
10.091,-151.9618377685547
10.0915,-152.34912109375
10.092,-152.694091796875
10.0925,-153.21017456054688
10.093,-153.52334594726562
10.0935,-153.71592712402344
10.094,-154.17034912109375
10.0945,-154.68502807617188
10.095,-154.9610137939453
10.0955,-155.4490966796875
10.096,-155.8591766357422
10.0965,-156.06883239746094
10.097,-156.37600708007812
10.0975,-156.8842315673828
10.098,-157.14511108398438
10.0985,-157.63616943359375
10.099,-157.9851531982422
10.0995,-158.4286346435547
10.1,-158.64898681640625
