"Freq [GHz]","ang_deg(St(antennas_T4,antennas_T1)) [deg]"
9.95,52.2854747245919
9.951,52.0070626006213
9.952,51.7288041275114
9.953,51.4506997898596
9.954,51.1727500750818
9.955,50.8949554737146
9.956,50.6173164797145
9.957,50.3398335907495
9.958,50.0625073084906
9.959,49.7853381388979
9.96,49.5083265925013
9.961,49.231473184679
9.962,48.9547784359304
9.963,48.6782428721446
9.964,48.401867024866
9.965,48.1256514315533
9.966,47.8495966358369
9.967,47.5737031877679
9.968,47.2979716440657
9.969,47.0224025683605
9.97,46.7469965314293
9.971,46.4717541114295
9.972,46.1966758941257
9.973,45.9217624731135
9.974,45.6470144500371
9.975,45.372432434802
9.976,45.0980170457847
9.977,44.8237689100342
9.978,44.5496886634714
9.979,44.2757769510819
9.98,44.0020344271039
9.981,43.7284617552119
9.982,43.4550596086944
9.983,43.1818286706258
9.984,42.908769634035
9.985,42.635883202067
9.986,42.3631700881412
9.987,42.0906310161012
9.988,41.8182667203632
9.989,41.5460779460562
9.99,41.2740654491582
9.991,41.002229996627
9.992,40.7305723665251
9.993,40.4590933481401
9.994,40.1877937420985
9.995,39.9166743604752
9.996,39.6457360268978
9.997,39.3749795766438
9.998,39.1044058567342
9.999,38.8340157260208
10,38.5638100552689
10.001,38.2937897272331
10.002,38.0239556367289
10.003,37.7543086906992
10.004,37.4848498082738
10.005,37.2155799208251
10.006,36.9464999720179
10.007,36.677610917853
10.008,36.4089137267062
10.009,36.1404093793634
10.01,35.8720988690461
10.011,35.6039832014358
10.012,35.3360633946934
10.013,35.0683404794673
10.014,34.8008154989029
10.015,34.5334895086448
10.016,34.2663635768314
10.017,33.9994387840871
10.018,33.7327162235083
10.019,33.4661970006443
10.02,33.1998822334727
10.021,32.9337730523693
10.022,32.6678706000758
10.023,32.4021760316571
10.024,32.1366905144597
10.025,31.8714152280601
10.026,31.6063513642108
10.027,31.341500126781
10.028,31.0768627316928
10.029,30.812440406851
10.03,30.5482343920693
10.031,30.2842459389917
10.032,30.0204763110112
10.033,29.7569267831776
10.034,29.4935986421081
10.035,29.2304931858883
10.036,28.9676117239716
10.037,28.7049555770725
10.038,28.4425260770559
10.039,28.1803245668213
10.04,27.9183524001851
10.041,27.6566109417562
10.042,27.3951015668077
10.043,27.1338256611462
10.044,26.8727846209745
10.045,26.6119798527528
10.046,26.3514127730539
10.047,26.0910848084158
10.048,25.8309973951902
10.049,25.5711519793867
10.05,25.3115500165134
